jid,formula_raw,formula_reduced,cif_file,cif_path,formation_energy_peratom,ehull,exfoliation_energy,optb88vdw_bandgap,hse_gap,icsd_raw,has_icsd,reference,exp_formula_label,synthesis_data_label
JVASP-13535,CoTeO4,CoTeO4,JVASP-13535_CoTeO4.cif,data/cif/JVASP-13535_CoTeO4.cif,-0.77274,0.0,69.91,0.297,,,0,mp-771247-1L,0,0
JVASP-13536,SbTe,SbTe,JVASP-13536_SbTe.cif,data/cif/JVASP-13536_SbTe.cif,-0.07312,0.0,33.7,0.034,,,0,mp-7716-1L,0,0
JVASP-13539,Sb,Sb,JVASP-13539_Sb.cif,data/cif/JVASP-13539_Sb.cif,0.87535,0.0,571.66,0.0,,,0,mp-80-1L,0,0
JVASP-13541,Ta2Se,Ta2Se,JVASP-13541_Ta2Se.cif,data/cif/JVASP-13541_Ta2Se.cif,-0.38516,0.0,60.31,0.0,,,0,mp-8732-1L,0,0
JVASP-13544,As2Se3,As2Se3,JVASP-13544_As2Se3.cif,data/cif/JVASP-13544_As2Se3.cif,0.0268,0.0,132.96,1.421,,,0,mp-909-1L,0,0
JVASP-13545,YTe3,YTe3,JVASP-13545_YTe3.cif,data/cif/JVASP-13545_YTe3.cif,-0.90533,0.0,57.52,0.0,,,0,mp-945077-1L,0,0
JVASP-13546,VBr2,VBr2,JVASP-13546_VBr2.cif,data/cif/JVASP-13546_VBr2.cif,-0.78827,0.0,76.94,1.245,,,0,mp-971787-1L,0,0
JVASP-13547,SiSb3,SiSb3,JVASP-13547_SiSb3.cif,data/cif/JVASP-13547_SiSb3.cif,1.06839,0.0,582.88,0.0,,,0,mp-972794-1L,0,0
JVASP-13548,Sb3Pb,Sb3Pb,JVASP-13548_Sb3Pb.cif,data/cif/JVASP-13548_Sb3Pb.cif,0.79394,0.0,595.95,0.0,,,0,mp-973199-1L,0,0
JVASP-13549,SiAs2,SiAs2,JVASP-13549_SiAs2.cif,data/cif/JVASP-13549_SiAs2.cif,0.02636,0.0,78.56,1.402,,,0,mp-978553-1L,0,0
JVASP-13550,SiAs3,SiAs3,JVASP-13550_SiAs3.cif,data/cif/JVASP-13550_SiAs3.cif,1.05357,0.0,493.94,0.0,,,0,mp-978567-1L,0,0
JVASP-13551,HfS3,HfS3,JVASP-13551_HfS3.cif,data/cif/JVASP-13551_HfS3.cif,-1.26875,0.0,55.69,1.209,,,0,mp-9922-1L,0,0
JVASP-13556,Mg3Au,Mg3Au,JVASP-13556_Mg3Au.cif,data/cif/JVASP-13556_Mg3Au.cif,0.07527,0.0,309.61,0.0,,,0,mp-11251-1L,0,0
JVASP-13560,ZrN,ZrN,JVASP-13560_ZrN.cif,data/cif/JVASP-13560_ZrN.cif,-0.62925,0.0,1131.05,0.0,,,0,mp-13126-1L,0,0
JVASP-13562,K2YTe2,K2YTe2,JVASP-13562_K2YTe2.cif,data/cif/JVASP-13562_K2YTe2.cif,-1.07772,0.0,,0.0,,,0,mp-16763-1L,0,0
JVASP-13564,TlSbSe4,TlSbSe4,JVASP-13564_TlSbSe4.cif,data/cif/JVASP-13564_TlSbSe4.cif,0.40552,0.0,,0.0,,,0,mp-19846-1L,0,0
JVASP-13567,CeS,CeS,JVASP-13567_CeS.cif,data/cif/JVASP-13567_CeS.cif,-1.71651,0.0,430.04,0.0,,,0,mp-20560-1L,0,0
JVASP-13568,LiSi5Pd,LiSi5Pd,JVASP-13568_LiSi5Pd.cif,data/cif/JVASP-13568_LiSi5Pd.cif,0.36715,0.0,,0.0,,,0,mp-20747-1L,0,0
JVASP-13576,FeBr2,FeBr2,JVASP-13576_FeBr2.cif,data/cif/JVASP-13576_FeBr2.cif,-0.35903,0.0,74.28,0.0,,,0,mp-22880-1L,0,0
JVASP-13579,SrIF,SrIF,JVASP-13579_SrIF.cif,data/cif/JVASP-13579_SrIF.cif,-2.97143,0.0,55.35,2.252,5.7,,0,mp-23046-1L,0,0
JVASP-13581,HgBr,HgBr,JVASP-13581_HgBr.cif,data/cif/JVASP-13581_HgBr.cif,0.12996,0.0,397.09,1.406,,,0,mp-23177-1L,0,0
JVASP-13586,MoN,MoN,JVASP-13586_MoN.cif,data/cif/JVASP-13586_MoN.cif,1.89558,0.0,,0.0,,,0,mp-2355-1L,0,0
JVASP-13587,LuHCl,LuHCl,JVASP-13587_LuHCl.cif,data/cif/JVASP-13587_LuHCl.cif,-1.41876,0.0,36.15,0.0,,,0,mp-23896-1L,0,0
JVASP-13588,ScHCl,ScHCl,JVASP-13588_ScHCl.cif,data/cif/JVASP-13588_ScHCl.cif,-1.41346,0.0,34.81,0.0,,,0,mp-24081-1L,0,0
JVASP-13589,CaHI,CaHI,JVASP-13589_CaHI.cif,data/cif/JVASP-13589_CaHI.cif,-1.18105,0.0,48.83,3.623,,,0,mp-24204-1L,0,0
JVASP-13590,CaHBr,CaHBr,JVASP-13590_CaHBr.cif,data/cif/JVASP-13590_CaHBr.cif,-1.41875,0.0,50.29,1.944,,,0,mp-24422-1L,0,0
JVASP-13596,AuSe,AuSe,JVASP-13596_AuSe.cif,data/cif/JVASP-13596_AuSe.cif,0.09275,0.0,165.9,1.292,,,0,mp-2793-1L,0,0
JVASP-13597,W2N,W2N,JVASP-13597_W2N.cif,data/cif/JVASP-13597_W2N.cif,0.91133,0.0,515.58,0.0,,,0,mp-27943-1L,0,0
JVASP-13598,SmBr3,SmBr3,JVASP-13598_SmBr3.cif,data/cif/JVASP-13598_SmBr3.cif,-1.88157,0.0,87.72,1.45,,,0,mp-27976-1L,0,0
JVASP-13600,ZrFeCl6,ZrFeCl6,JVASP-13600_ZrFeCl6.cif,data/cif/JVASP-13600_ZrFeCl6.cif,-1.35162,0.0,,0.0,,,0,mp-28208-1L,0,0
JVASP-13602,PtI2,PtI2,JVASP-13602_PtI2.cif,data/cif/JVASP-13602_PtI2.cif,0.0067,0.0,133.73,1.316,,,0,mp-28319-1L,0,0
JVASP-13608,Nb3GeTe6,Nb3GeTe6,JVASP-13608_Nb3GeTe6.cif,data/cif/JVASP-13608_Nb3GeTe6.cif,-0.35141,0.0,94.87,0.0,,,0,mp-28754-1L,0,0
JVASP-13611,PI2,PI2,JVASP-13611_PI2.cif,data/cif/JVASP-13611_PI2.cif,0.04595,0.0,96.32,1.767,,,0,mp-29443-1L,0,0
JVASP-13616,AsCl5,AsCl5,JVASP-13616_AsCl5.cif,data/cif/JVASP-13616_AsCl5.cif,-0.25945,0.0,131.39,1.584,,,0,mp-30106-1L,0,0
JVASP-13619,BaZnBi,BaZnBi,JVASP-13619_BaZnBi.cif,data/cif/JVASP-13619_BaZnBi.cif,-0.34787,0.0,,0.0,,,0,mp-30427-1L,0,0
JVASP-13623,ZrGeTe,ZrGeTe,JVASP-13623_ZrGeTe.cif,data/cif/JVASP-13623_ZrGeTe.cif,-0.72863,0.0,72.77,0.0,,,0,mp-3208-1L,0,0
JVASP-13624,Ni2SbTe2,Ni2SbTe2,JVASP-13624_Ni2SbTe2.cif,data/cif/JVASP-13624_Ni2SbTe2.cif,-0.16405,0.0,83.88,0.0,,,0,mp-3250-1L,0,0
JVASP-13627,NdTe2Se,NdTe2Se,JVASP-13627_NdTe2Se.cif,data/cif/JVASP-13627_NdTe2Se.cif,-1.12535,0.0,,0.0,,,0,mp-4437-1L,0,0
JVASP-13628,FeS,FeS,JVASP-13628_FeS.cif,data/cif/JVASP-13628_FeS.cif,-0.49584,0.0,85.46,0.0,,,0,mp-505531-1L,0,0
JVASP-13632,TiCl3,TiCl3,JVASP-13632_TiCl3.cif,data/cif/JVASP-13632_TiCl3.cif,-1.58951,0.0,72.44,0.0,,,0,mp-567354-1L,0,0
JVASP-13634,NiSe,NiSe,JVASP-13634_NiSe.cif,data/cif/JVASP-13634_NiSe.cif,-0.08834,0.0,130.85,0.0,,,0,mp-571033-1L,0,0
JVASP-13636,Nb2CS2,Nb2CS2,JVASP-13636_Nb2CS2.cif,data/cif/JVASP-13636_Nb2CS2.cif,-0.88709,0.0,51.92,0.0,,,0,mp-5745-1L,0,0
JVASP-13647,Ge2Te,Ge2Te,JVASP-13647_Ge2Te.cif,data/cif/JVASP-13647_Ge2Te.cif,0.58671,0.0,,0.0,,,0,mp-938-1L,0,0
JVASP-14417,AgI,AgI,JVASP-14417_AgI.cif,data/cif/JVASP-14417_AgI.cif,-0.11567,0.0,88.71,1.976,,,0,mp-567809-1L,0,0
JVASP-14419,CoI2,CoI2,JVASP-14419_CoI2.cif,data/cif/JVASP-14419_CoI2.cif,0.10244,0.0,85.11,0.0,,,0,mp-569610-1L,0,0
JVASP-14420,NbSe2Br2,Nb(SeBr)2,JVASP-14420_NbSe2Br2.cif,data/cif/JVASP-14420_NbSe2Br2.cif,-0.6982,0.0,74.06,1.103,,,0,mp-569623-1L,0,0
JVASP-14421,ZrBrN,ZrBrN,JVASP-14421_ZrBrN.cif,data/cif/JVASP-14421_ZrBrN.cif,-1.7256,0.0,42.07,1.906,,,0,mp-570157-1L,0,0
JVASP-14425,YGaI,YGaI,JVASP-14425_YGaI.cif,data/cif/JVASP-14425_YGaI.cif,-1.05938,0.0,44.37,0.0,,,0,mp-571210-1L,0,0
JVASP-14427,YI3,YI3,JVASP-14427_YI3.cif,data/cif/JVASP-14427_YI3.cif,-1.38067,0.0,92.27,2.898,,,0,mp-571442-1L,0,0
JVASP-14431,MnSe,MnSe,JVASP-14431_MnSe.cif,data/cif/JVASP-14431_MnSe.cif,-0.21705,0.0,81.84,0.0,,,0,mp-604910-1L,0,0
JVASP-14432,AlHO2,AlHO2,JVASP-14432_AlHO2.cif,data/cif/JVASP-14432_AlHO2.cif,-2.36125,0.0,68.47,1.499,4.18,,0,mp-625055-1L,0,0
JVASP-14433,Zr2HBr2,Zr2HBr2,JVASP-14433_Zr2HBr2.cif,data/cif/JVASP-14433_Zr2HBr2.cif,-0.92998,0.0,,0.0,,,0,mp-642803-1L,0,0
JVASP-14441,CoO2,CoO2,JVASP-14441_CoO2.cif,data/cif/JVASP-14441_CoO2.cif,-0.92474,0.0,66.6,0.0,,,0,mp-714976-1L,0,0
JVASP-14443,YBrO,YBrO,JVASP-14443_YBrO.cif,data/cif/JVASP-14443_YBrO.cif,-3.0908,0.0,37.02,3.379,,,0,mp-754031-1L,0,0
JVASP-14445,BiOF,BiOF,JVASP-14445_BiOF.cif,data/cif/JVASP-14445_BiOF.cif,-1.87963,0.0,87.05,3.437,,,0,mp-759883-1L,0,0
JVASP-14451,Si3H,Si3H,JVASP-14451_Si3H.cif,data/cif/JVASP-14451_Si3H.cif,0.06295,0.0,25.96,0.986,,,0,mp-995193-1L,0,0
JVASP-14455,TlS2,TlS2,JVASP-14455_TlS2.cif,data/cif/JVASP-14455_TlS2.cif,0.38339,0.0,,0.0,,,0,mp-998912-1L,0,0
JVASP-14456,CoO2,CoO2,JVASP-14456_CoO2.cif,data/cif/JVASP-14456_CoO2.cif,0.21403,0.0,49.87,0.0,,,0,mvc-10954-1L,0,0
JVASP-14457,VO2,VO2,JVASP-14457_VO2.cif,data/cif/JVASP-14457_VO2.cif,-2.28804,0.0,58.83,0.0,,,0,mvc-11573-1L,0,0
JVASP-14458,TeO3,TeO3,JVASP-14458_TeO3.cif,data/cif/JVASP-14458_TeO3.cif,-0.09269,0.0,49.34,0.947,,,0,mvc-14413-1L,0,0
JVASP-14459,BiO2,BiO2,JVASP-14459_BiO2.cif,data/cif/JVASP-14459_BiO2.cif,-0.48464,0.0,161.3,0.334,,,0,mvc-15971-1L,0,0
JVASP-14460,Cr3O8,Cr3O8,JVASP-14460_Cr3O8.cif,data/cif/JVASP-14460_Cr3O8.cif,-1.4013,0.0,57.02,0.0,,,0,mvc-8154-1L,0,0
JVASP-153099,B2N,B2N,JVASP-153099_B2N.cif,data/cif/JVASP-153099_B2N.cif,0.08959,0.0,,0.0,,,0,b2n-optb88-vdw,0,0
JVASP-153100,B2O,B2O,JVASP-153100_B2O.cif,data/cif/JVASP-153100_B2O.cif,-0.73051,0.0,,0.0,,,0,b2o-optb88-vdw,0,0
JVASP-153101,B,B,JVASP-153101_B.cif,data/cif/JVASP-153101_B.cif,0.49409,0.0,,0.0,,,0,beta-b-optb88-vdw,0,0
JVASP-153102,CaC6,CaC6,JVASP-153102_CaC6.cif,data/cif/JVASP-153102_CaC6.cif,0.07726,0.0,,0.0,,,0,cac6-optb88-vdw,0,0
JVASP-153103,CaRu2N2,Ca(RuN)2,JVASP-153103_CaRu2N2.cif,data/cif/JVASP-153103_CaRu2N2.cif,0.01638,0.0,,0.0,,,0,caru2n2-optb88-vdw,0,0
JVASP-153104,B,B,JVASP-153104_B.cif,data/cif/JVASP-153104_B.cif,0.47736,0.0,,0.0,,,0,chi-b-optb88-vdw,0,0
JVASP-153105,CrF3,CrF3,JVASP-153105_CrF3.cif,data/cif/JVASP-153105_CrF3.cif,-2.62515,0.0,,1.813,,,0,crf3-optb88-vdw,0,0
JVASP-153106,NbTe2,NbTe2,JVASP-153106_NbTe2.cif,data/cif/JVASP-153106_NbTe2.cif,-0.32565,0.0,,0.0,,,0,h-nbte2-optb88-vdw,0,0
JVASP-153108,LiBC,LiBC,JVASP-153108_LiBC.cif,data/cif/JVASP-153108_LiBC.cif,-0.06357,0.0,,0.0,,,0,libc-optb88-vdw,0,0
JVASP-153109,LiC6,LiC6,JVASP-153109_LiC6.cif,data/cif/JVASP-153109_LiC6.cif,0.1147,0.0,,0.0,,,0,lic6-optb88-vdw,0,0
JVASP-153113,MgB2,MgB2,JVASP-153113_MgB2.cif,data/cif/JVASP-153113_MgB2.cif,0.43729,0.0,,0.0,,,0,mgb2-optb88-vdw,0,0
JVASP-153114,MgBH,MgBH,JVASP-153114_MgBH.cif,data/cif/JVASP-153114_MgBH.cif,0.58761,0.0,,0.0,,,0,mgbh-optb88-vdw,0,0
JVASP-153115,NbC,NbC,JVASP-153115_NbC.cif,data/cif/JVASP-153115_NbC.cif,0.34236,0.0,,0.0,,,0,nbc-optb88-vdw,0,0
JVASP-153117,ScC,ScC,JVASP-153117_ScC.cif,data/cif/JVASP-153117_ScC.cif,0.46285,0.0,,0.0,,,0,scc-optb88-vdw,0,0
JVASP-153118,NbTe2,NbTe2,JVASP-153118_NbTe2.cif,data/cif/JVASP-153118_NbTe2.cif,-0.31776,0.0,,0.0,,,0,t-nbte2-optb88-vdw,0,0
JVASP-153119,TaTe2,TaTe2,JVASP-153119_TaTe2.cif,data/cif/JVASP-153119_TaTe2.cif,-0.21262,0.0,,0.0,,,0,t-tate2-optb88-vdw,0,0
JVASP-153120,B3W2,B3W2,JVASP-153120_B3W2.cif,data/cif/JVASP-153120_B3W2.cif,0.91212,0.0,,0.0,,,0,w2b3-optb88-vdw,0,0
JVASP-153121,ZrSiS,ZrSiS,JVASP-153121_ZrSiS.cif,data/cif/JVASP-153121_ZrSiS.cif,-0.76981,0.0,,0.0,,,0,zrsis-optb88-vdw,0,0
JVASP-153122,W2N3,W2N3,JVASP-153122_W2N3.cif,data/cif/JVASP-153122_W2N3.cif,0.03544,0.0,,0.0,,,0,w2n3-optb88-vdw-copy,0,0
JVASP-155139,YScC2SNCl,YScC2SNCl,JVASP-155139_YScC2SNCl.cif,data/cif/JVASP-155139_YScC2SNCl.cif,-0.70184,0.0,,0.532,,,0,Sc-Y-C-SCN-Cl,0,0
JVASP-155145,ZrScCBrO,ZrScCBrO,JVASP-155145_ZrScCBrO.cif,data/cif/JVASP-155145_ZrScCBrO.cif,-1.85942,0.0,,1.002,,,0,Zr-Sc-C-O-Br,0,0
JVASP-155148,HfTiCO2,HfTiCO2,JVASP-155148_HfTiCO2.cif,data/cif/JVASP-155148_HfTiCO2.cif,-2.25526,0.0,,0.731,,,0,Ti-Hf-C-O-O,0,0
JVASP-19510,NbSe2,NbSe2,JVASP-19510_NbSe2.cif,data/cif/JVASP-19510_NbSe2.cif,-0.73508,0.0,101.18,0.0,,,0,mp-10228-1L,1,1
JVASP-19513,P4S3,P4S3,JVASP-19513_P4S3.cif,data/cif/JVASP-19513_P4S3.cif,-0.0438,0.0,104.64,2.101,,,0,mp-1469-1L,0,0
JVASP-19516,SmS,SmS,JVASP-19516_SmS.cif,data/cif/JVASP-19516_SmS.cif,-1.81363,0.0,62.39,0.0,,,0,mp-1879-1L,0,0
JVASP-19517,NaMnP,NaMnP,JVASP-19517_NaMnP.cif,data/cif/JVASP-19517_NaMnP.cif,-0.37492,0.0,86.28,0.0,,,0,mp-20227-1L,0,0
JVASP-19524,UI3,UI3,JVASP-19524_UI3.cif,data/cif/JVASP-19524_UI3.cif,-0.7896,0.0,98.21,0.073,,,0,mp-23244-1L,0,0
JVASP-19536,AuSeBr,AuSeBr,JVASP-19536_AuSeBr.cif,data/cif/JVASP-19536_AuSeBr.cif,-0.02777,0.0,,1.069,,,0,mp-27199-1L,0,0
JVASP-19539,Te2AuCl,Te2AuCl,JVASP-19539_Te2AuCl.cif,data/cif/JVASP-19539_Te2AuCl.cif,-0.08139,0.0,188.72,0.022,,,0,mp-27490-1L,0,0
JVASP-19540,CNCl,CNCl,JVASP-19540_CNCl.cif,data/cif/JVASP-19540_CNCl.cif,0.47822,0.0,110.72,5.979,,,0,mp-27502-1L,0,0
JVASP-19545,PuBrO,PuBrO,JVASP-19545_PuBrO.cif,data/cif/JVASP-19545_PuBrO.cif,-2.72413,0.0,59.93,0.0,,,0,mp-27982-1L,0,0
JVASP-19549,LiBiO2,LiBiO2,JVASP-19549_LiBiO2.cif,data/cif/JVASP-19549_LiBiO2.cif,-1.59503,0.0,52.17,2.468,,,0,mp-28253-1L,0,0
JVASP-19550,SiCl4,SiCl4,JVASP-19550_SiCl4.cif,data/cif/JVASP-19550_SiCl4.cif,-1.1194,0.0,,2.012,,,0,mp-28391-1L,0,0
JVASP-19551,DyCl3,DyCl3,JVASP-19551_DyCl3.cif,data/cif/JVASP-19551_DyCl3.cif,-2.28777,0.0,81.4,3.931,,,0,mp-28448-1L,0,0
JVASP-19552,Br2O,Br2O,JVASP-19552_Br2O.cif,data/cif/JVASP-19552_Br2O.cif,0.30341,0.0,173.32,1.672,,,0,mp-28460-1L,0,0
JVASP-19557,PtS2Cl6,Pt(SCl3)2,JVASP-19557_PtS2Cl6.cif,data/cif/JVASP-19557_PtS2Cl6.cif,-0.2159,0.0,65.9,1.725,,,0,mp-28722-1L,0,0
JVASP-19565,Ca2SiBr,Ca2SiBr,JVASP-19565_Ca2SiBr.cif,data/cif/JVASP-19565_Ca2SiBr.cif,-0.77487,0.0,,0.0,,,0,mp-29881-1L,0,0
JVASP-19576,CaCO3,CaCO3,JVASP-19576_CaCO3.cif,data/cif/JVASP-19576_CaCO3.cif,-2.02342,0.0,247.89,2.561,,,0,mp-3205-1L,0,0
JVASP-19579,Ba2ZrS4,Ba2ZrS4,JVASP-19579_Ba2ZrS4.cif,data/cif/JVASP-19579_Ba2ZrS4.cif,-1.86812,0.0,221.51,0.562,,,0,mp-3813-1L,0,0
JVASP-19583,AgNO2,AgNO2,JVASP-19583_AgNO2.cif,data/cif/JVASP-19583_AgNO2.cif,-0.02466,0.0,136.51,1.238,,,0,mp-5770-1L,0,0
JVASP-19584,Tl2SnAs2S6,Tl2Sn(AsS3)2,JVASP-19584_Tl2SnAs2S6.cif,data/cif/JVASP-19584_Tl2SnAs2S6.cif,-0.27008,0.0,93.97,1.628,,,0,mp-6023-1L,0,0
JVASP-19586,SnS,SnS,JVASP-19586_SnS.cif,data/cif/JVASP-19586_SnS.cif,-0.4137,0.0,128.9,1.573,,,0,mp-8781-1L,0,0
JVASP-19987,HfTe5,HfTe5,JVASP-19987_HfTe5.cif,data/cif/JVASP-19987_HfTe5.cif,-0.33353,0.0,88.25,0.0,,,0,mp-1168-1L,0,0
JVASP-19988,AlN,AlN,JVASP-19988_AlN.cif,data/cif/JVASP-19988_AlN.cif,-1.02341,0.0,499.21,2.88,,,0,mp-13178-1L,0,0
JVASP-19989,SnS,SnS,JVASP-19989_SnS.cif,data/cif/JVASP-19989_SnS.cif,-0.36209,0.0,87.6,1.895,,,0,mp-1379-1L,0,0
JVASP-19990,HfSiTe,HfSiTe,JVASP-19990_HfSiTe.cif,data/cif/JVASP-19990_HfSiTe.cif,-0.62408,0.0,,0.0,,,0,mp-13963-1L,0,0
JVASP-19991,Rb2Te,Rb2Te,JVASP-19991_Rb2Te.cif,data/cif/JVASP-19991_Rb2Te.cif,-0.70628,0.0,388.51,0.377,,,0,mp-1397-1L,0,0
JVASP-19992,TaTe5Pt,TaTe5Pt,JVASP-19992_TaTe5Pt.cif,data/cif/JVASP-19992_TaTe5Pt.cif,-0.22601,0.0,96.14,0.0,,,0,mp-14815-1L,0,0
JVASP-19993,CaSi,CaSi,JVASP-19993_CaSi.cif,data/cif/JVASP-19993_CaSi.cif,-0.25896,0.0,,0.0,,,0,mp-1563-1L,0,0
JVASP-19996,KCN,KCN,JVASP-19996_KCN.cif,data/cif/JVASP-19996_KCN.cif,-0.23144,0.0,159.07,3.615,6.67,,0,mp-20134-1L,0,0
JVASP-19998,CdCl2,CdCl2,JVASP-19998_CdCl2.cif,data/cif/JVASP-19998_CdCl2.cif,-1.0446,0.0,,3.892,,,0,mp-22881-1L,0,0
JVASP-19999,PbI2,PbI2,JVASP-19999_PbI2.cif,data/cif/JVASP-19999_PbI2.cif,-0.57108,0.0,,1.598,,,0,mp-22883-1L,0,0
JVASP-20002,Bi,Bi,JVASP-20002_Bi.cif,data/cif/JVASP-20002_Bi.cif,0.26561,0.0,265.61,0.539,,,0,mp-23152-1L,0,0
JVASP-20004,HgI2,HgI2,JVASP-20004_HgI2.cif,data/cif/JVASP-20004_HgI2.cif,-0.05516,0.0,96.58,1.877,,,0,mp-23173-1L,0,0
JVASP-20005,SbCl5,SbCl5,JVASP-20005_SbCl5.cif,data/cif/JVASP-20005_SbCl5.cif,-0.52818,0.0,,1.476,,,0,mp-23176-1L,0,0
JVASP-20007,MgCl2,MgCl2,JVASP-20007_MgCl2.cif,data/cif/JVASP-20007_MgCl2.cif,-1.9175,0.0,,4.245,,,0,mp-23210-1L,0,0
JVASP-20011,HC2O2,H(CO)2,JVASP-20011_HC2O2.cif,data/cif/JVASP-20011_HC2O2.cif,-0.52087,0.0,,3.179,,,0,mp-23680-1L,0,0
JVASP-20012,Sr2CoBr2O2,Sr2Co(BrO)2,JVASP-20012_Sr2CoBr2O2.cif,data/cif/JVASP-20012_Sr2CoBr2O2.cif,-2.06845,0.0,46.24,0.0,,,0,mp-24866-1L,0,0
JVASP-20014,YCl3,YCl3,JVASP-20014_YCl3.cif,data/cif/JVASP-20014_YCl3.cif,-2.29504,0.0,68.89,1.543,,,0,mp-27455-1L,0,0
JVASP-20017,MnI2,MnI2,JVASP-20017_MnI2.cif,data/cif/JVASP-20017_MnI2.cif,-0.30247,0.0,,1.05,,,0,mp-28013-1L,0,0
JVASP-20022,RbI3,RbI3,JVASP-20022_RbI3.cif,data/cif/JVASP-20022_RbI3.cif,-0.59129,0.0,248.56,1.903,,,0,mp-28328-1L,0,0
JVASP-20023,TlI3,TlI3,JVASP-20023_TlI3.cif,data/cif/JVASP-20023_TlI3.cif,-0.09965,0.0,254.94,1.831,,,0,mp-28329-1L,0,0
JVASP-20026,RbBrF4,RbBrF4,JVASP-20026_RbBrF4.cif,data/cif/JVASP-20026_RbBrF4.cif,-1.6063,0.0,48.54,3.448,,,0,mp-28577-1L,0,0
JVASP-20029,AuCN,AuCN,JVASP-20029_AuCN.cif,data/cif/JVASP-20029_AuCN.cif,0.48158,0.0,135.73,2.268,,,0,mp-29196-1L,0,0
JVASP-20033,SmBrO,SmBrO,JVASP-20033_SmBrO.cif,data/cif/JVASP-20033_SmBrO.cif,-3.02436,0.0,56.61,4.77,,,0,mp-29327-1L,0,0
JVASP-20035,Rb3Mo2Cl9,Rb3Mo2Cl9,JVASP-20035_Rb3Mo2Cl9.cif,data/cif/JVASP-20035_Rb3Mo2Cl9.cif,-1.39663,0.0,88.29,0.764,,,0,mp-29458-1L,0,0
JVASP-20040,KrF2,KrF2,JVASP-20040_KrF2.cif,data/cif/JVASP-20040_KrF2.cif,0.08943,0.0,213.56,3.011,,,0,mp-30009-1L,0,0
JVASP-20041,LuPS4,LuPS4,JVASP-20041_LuPS4.cif,data/cif/JVASP-20041_LuPS4.cif,-1.02211,0.0,66.08,2.318,,,0,mp-30287-1L,0,0
JVASP-20042,W6CCl8,W6CCl8,JVASP-20042_W6CCl8.cif,data/cif/JVASP-20042_W6CCl8.cif,-0.79065,0.0,,0.806,,,0,mp-30295-1L,0,0
JVASP-20044,LaIO,LaIO,JVASP-20044_LaIO.cif,data/cif/JVASP-20044_LaIO.cif,-2.93024,0.0,,3.749,,,0,mp-30993-1L,0,0
